, 11585, 16384, 23170, 32768, 46340
300C02, 1, 1, 1, NaN, NaN
352C01, 1, 1, 1, NaN, NaN
013604, 0, 1, 1, 1, 1
060D04, 0, 1, 1, 1, NaN
1F2508, 0, 1, 1, 1, NaN
282404, 0, 1, 1, NaN, NaN
110B08, 0, 0.9545454545454546, 1, 1, NaN
361C20, 0, 0.3181818181818182, 1, NaN, NaN
011840, 0, 0, 1, 1, 1
050402, 0, 0, 1, 1, NaN
0C2D80, 0, 0, 1, 1, NaN
1B0E01, 0, 0, 1, 1, NaN
221704, 0, 0, 1, NaN, NaN
300D10, 0, 0, 1, NaN, NaN
3A0701, 0, 0, 1, NaN, NaN
390401, 0, 0, 0.5454545454545454, NaN, NaN
273520, 0, 0, 0.45454545454545453, NaN, NaN
151D08, 0, 0, 0.3181818181818182, 1, NaN
010708, 0, 0, 0, 1, 1
012E02, 0, 0, 0, 1, 1
031B08, 0, 0, 0, 1, 1
060608, 0, 0, 0, 1, NaN
072702, 0, 0, 0, 1, NaN
083004, 0, 0, 0, 1, NaN
0A1580, 0, 0, 0, 1, NaN
0B2F10, 0, 0, 0, 1, NaN
0C1D40, 0, 0, 0, 1, NaN
0F1602, 0, 0, 0, 1, NaN
132801, 0, 0, 0, 1, NaN
133608, 0, 0, 0, 1, NaN
143C08, 0, 0, 0, 1, NaN
150401, 0, 0, 0, 1, NaN
182D40, 0, 0, 0, 1, NaN
1B0C04, 0, 0, 0, 1, NaN
1B1E02, 0, 0, 0, 1, NaN
200680, 0, 0, 0, 1, NaN
212580, 0, 0, 0, 1, NaN
213F40, 0, 0, 0, 1, NaN
070601, 0, 0, 0, 0.9545454545454546, NaN
211402, 0, 0, 0, 0.8888888888888888, NaN
141410, 0, 0, 0, 0.8181818181818182, NaN
0F0580, 0, 0, 0, 0.5, NaN
150D40, 0, 0, 0, 0.5, NaN
1C1504, 0, 0, 0, 0.5, NaN
1C2D40, 0, 0, 0, 0.46153846153846156, NaN
011240, 0, 0, 0, 0.4090909090909091, 1
212A01, 0, 0, 0, 0.25, NaN
111C01, 0, 0, 0, 0.18181818181818182, NaN
060780, 0, 0, 0, 0.13636363636363635, NaN
1A2704, 0, 0, 0, 0.13636363636363635, NaN
0D1420, 0, 0, 0, 0.09090909090909091, NaN
000C0A, 0, 0, 0, 0, 1
002B02, 0, 0, 0, 0, 1
002C80, 0, 0, 0, 0, 1
002F20, 0, 0, 0, 0, 1
003602, 0, 0, 0, 0, 1
010E04, 0, 0, 0, 0, 1
011680, 0, 0, 0, 0, 1
011F01, 0, 0, 0, 0, 1
013520, 0, 0, 0, 0, 1
013C04, 0, 0, 0, 0, 1
020D04, 0, 0, 0, 0, 1
021640, 0, 0, 0, 0, 1
021701, 0, 0, 0, 0, 1
021E10, 0, 0, 0, 0, 1
022502, 0, 0, 0, 0, 1
023880, 0, 0, 0, 0, 1
023C40, 0, 0, 0, 0, 1
023D08, 0, 0, 0, 0, 1
031104, 0, 0, 0, 0, 1
032608, 0, 0, 0, 0, 1
032C02, 0, 0, 0, 0, 1
033401, 0, 0, 0, 0, 1
033D04, 0, 0, 0, 0, 1
023E44, 0, 0, 0, 0, 0.95
000504, 0, 0, 0, 0, 0.8636363636363636
031402, 0, 0, 0, 0, 0.75
033320, 0, 0, 0, 0, 0.75
013E09, 0, 0, 0, 0, 0.6818181818181818
022410, 0, 0, 0, 0, 0.6818181818181818
022E04, 0, 0, 0, 0, 0.6818181818181818
010F80, 0, 0, 0, 0, 0.6363636363636364
031E08, 0, 0, 0, 0, 0.5714285714285714
011D04, 0, 0, 0, 0, 0.2727272727272727
020701, 0, 0, 0, 0, 0.2727272727272727
013E08, 0, 0, 0, 0, 0.22727272727272727
003D10, 0, 0, 0, 0, 0.09090909090909091
013E19, 0, 0, 0, 0, 0.09090909090909091
023E40, 0, 0, 0, 0, 0.05
